Meal_ID,Meal_Name,Cuisine,Calories,Protein,Carbohydrates,Fat,Fiber,Cost,Is_Vegetarian,Meal_Type,Prep_Time,Base_Rating
21,Baked Pork & Potato Bowl with Broccoli,Mexican,407,20,36,20,2,78,0,Lunch,11,4.4
22,Grilled Pork Bites,Asian,184,20,21,2,1,70,0,Snack,4,4.5
23,Oats with Fruits & Nuts,Indian,514,13,104,5,13,54,1,Breakfast,41,4.2
24,Oats with Fruits & Nuts,Asian,823,22,125,26,4,65,1,Breakfast,19,3.8
25,Roasted Pork with Quinoa,Mediterranean,518,52,64,6,9,79,0,Breakfast,38,3.8
26,Creamy Chicken with Pasta,Asian,787,48,106,19,11,89,0,Breakfast,5,4.3
27,Greek Yogurt with Honey,Indian,223,22,20,6,3,56,0,Snack,3,3.8
28,Wrap with Mushroom,Indian,480,13,75,14,9,51,1,Breakfast,5,4.9
29,Grilled Fish Bites,American,129,26,1,2,3,61,0,Snack,8,4.7
30,Creamy Egg with Oats,Indian,625,50,54,23,3,136,0,Breakfast,12,4.8
31,Grilled Chickpeas & Wrap Bowl with Mixed Veggies,Mexican,444,31,59,9,10,101,1,Dinner,7,4.0
32,Greek Yogurt with Honey,Italian,263,6,50,4,4,39,1,Snack,5,4.2
33,Grilled Fish with Oats,Italian,423,46,12,21,10,110,0,Breakfast,10,4.2
34,Baked Chicken & Rice Bowl with Broccoli,American,610,35,77,18,6,153,0,Lunch,15,4.7
35,Roasted Beans,Mediterranean,194,14,27,3,7,19,1,Snack,3,4.0
36,Oats with Fruits & Nuts,American,650,30,119,6,6,86,1,Breakfast,8,4.5
37,Creamy Turkey with Quinoa,American,747,30,78,35,2,142,0,Breakfast,38,4.2
38,Potato with Salad,Italian,352,26,21,18,10,53,1,Breakfast,17,4.8
39,Fried Pork & Quinoa Bowl with Broccoli,Indian,454,33,44,16,8,70,0,Lunch,26,4.1
40,Spicy Beef & Quinoa Bowl with Broccoli,Indian,377,41,12,18,11,91,0,Lunch,43,3.8
41,Creamy Chicken & Quinoa Bowl with Spinach,Indian,869,43,84,40,3,104,0,Dinner,42,3.8
42,Fried Egg & Quinoa Bowl with Broccoli,Mediterranean,974,50,126,30,8,164,0,Dinner,10,4.5
43,Fried Pork & Pasta Bowl with Spinach,Asian,879,47,121,23,4,125,0,Lunch,29,4.5
44,Fried Egg with Potato,Asian,733,34,106,19,3,126,0,Breakfast,33,3.8
45,Grilled Beans & Quinoa Bowl with Salad,American,610,37,79,16,6,106,1,Dinner,27,4.4
46,Roasted Beans,Asian,284,9,35,12,3,23,1,Snack,2,4.1
47,Mild Egg & Potato Bowl with Broccoli,Asian,535,32,83,8,8,89,0,Lunch,23,3.6
48,Mild Beef & Wrap Bowl with Salad,American,545,57,65,6,11,139,0,Dinner,27,4.9
49,Roasted Chicken with Quinoa,Indian,449,37,30,20,4,105,0,Breakfast,34,4.1
50,Grilled Fish & Bread Bowl with Spinach,Indian,532,62,12,26,7,147,0,Dinner,39,4.5
51,Quinoa with Broccoli,Mediterranean,615,17,107,13,13,89,1,Breakfast,24,3.9
52,Creamy Tofu & Quinoa Bowl with Salad,Mediterranean,560,28,60,23,5,97,1,Lunch,34,3.6
53,Roasted Pork & Quinoa Bowl with Spinach,Mexican,519,34,37,26,10,87,0,Dinner,18,3.6
54,Greek Yogurt with Honey,Mexican,272,21,42,2,4,75,0,Snack,4,4.8
55,Greek Yogurt with Honey,Italian,346,26,15,20,3,69,0,Snack,8,4.1
56,Grilled Beef Bites,Indian,244,22,30,4,1,53,0,Snack,9,3.8
57,Creamy Chickpeas & Rice Bowl with Mushroom,Asian,762,42,83,29,11,73,1,Dinner,9,3.6
58,Spicy Fish & Bread Bowl with Salad,Asian,613,41,85,12,5,88,0,Lunch,30,3.8
59,Grilled Lentils & Rice Bowl with Mushroom,Indian,381,32,40,10,11,42,1,Lunch,12,3.8
60,Roasted Tofu,Italian,130,9,7,7,6,32,1,Snack,8,4.9
61,Fried Chicken & Pasta Bowl with Salad,Mediterranean,914,46,99,37,3,123,0,Dinner,32,3.9
62,Spicy Fish & Rice Bowl with Salad,American,590,27,57,28,10,147,0,Dinner,38,4.9
63,Spicy Lentils & Rice Bowl with Broccoli,Indian,825,27,127,23,15,137,1,Dinner,14,3.6
64,Grilled Fish Bites,Italian,226,31,9,7,2,84,0,Snack,4,4.2
65,Roasted Paneer & Oats Bowl with Mixed Veggies,Indian,452,30,38,20,8,75,1,Lunch,14,4.9
66,Baked Chickpeas & Quinoa Bowl with Spinach,Asian,488,16,83,10,14,74,1,Lunch,20,3.9
67,Fried Fish & Wrap Bowl with Mushroom,Mediterranean,750,48,103,16,6,140,0,Lunch,6,3.9
68,Greek Yogurt with Honey,Indian,398,15,44,18,7,39,1,Snack,9,4.1
69,Mild Chicken & Wrap Bowl with Mushroom,Asian,463,45,48,10,7,115,0,Dinner,8,4.1
70,Spicy Beans & Potato Bowl with Mushroom,Indian,373,12,40,18,8,96,1,Lunch,12,4.7
71,Fried Tofu & Pasta Bowl with Salad,Indian,708,37,65,33,8,67,1,Dinner,39,4.9
72,Grilled Beef Bites,Asian,138,19,11,2,2,69,0,Snack,3,4.8
73,Grilled Tofu & Potato Bowl with Salad,Indian,730,43,81,26,14,100,1,Dinner,18,4.9
74,Grilled Fish & Oats Bowl with Spinach,Mexican,450,32,28,23,7,109,0,Lunch,35,3.9
75,Spicy Beef & Rice Bowl with Salad,American,626,52,48,25,14,115,0,Dinner,11,4.0
76,Spicy Beef & Rice Bowl with Salad,Italian,378,40,38,7,14,170,0,Dinner,30,4.7
77,Baked Chickpeas & Quinoa Bowl with Salad,American,547,32,86,8,7,50,1,Lunch,15,3.7
78,Grilled Egg & Bread Bowl with Spinach,Indian,402,45,10,20,8,81,0,Lunch,31,4.3
79,Baked Turkey & Rice Bowl with Broccoli,Mexican,831,34,149,11,5,163,0,Dinner,25,4.9
80,Grilled Beef Bites,Mexican,374,18,30,20,3,77,0,Snack,8,4.9
81,Greek Yogurt with Honey,Asian,320,6,31,19,6,30,1,Snack,9,4.5
82,Greek Yogurt with Honey,Indian,147,9,7,9,4,30,1,Snack,2,5.0
83,Greek Yogurt with Honey,Italian,277,22,40,3,3,71,0,Snack,6,4.8
84,Pasta with Mushroom,Indian,412,37,25,18,11,105,1,Breakfast,39,4.3
85,Spicy Pork with Rice,American,509,45,46,16,10,104,0,Breakfast,40,3.8
86,Baked Fish with Quinoa,American,401,45,12,19,3,79,0,Breakfast,5,4.8
87,Bread with Broccoli,Mediterranean,819,10,149,20,14,95,1,Breakfast,22,3.9
88,Baked Beans & Potato Bowl with Mixed Veggies,Indian,693,23,134,7,11,114,1,Lunch,39,4.8
89,Potato with Salad,Mexican,630,22,124,5,8,93,1,Breakfast,6,4.9
90,Roasted Paneer,Mediterranean,389,11,52,15,7,47,1,Snack,9,3.9
91,Grilled Fish Bites,Asian,270,23,24,9,1,78,0,Snack,2,4.2
92,Grilled Beef Bites,Mexican,396,18,42,17,1,86,0,Snack,2,4.1
93,Grilled Chicken Bites,Mediterranean,277,27,37,2,1,76,0,Snack,3,4.1
94,Creamy Egg & Potato Bowl with Broccoli,American,667,35,50,36,11,63,0,Lunch,14,3.6
95,Oats with Fruits & Nuts,Mediterranean,825,11,159,16,7,98,1,Breakfast,40,3.6
96,Fried Chickpeas & Bread Bowl with Spinach,Mediterranean,699,18,111,20,6,71,1,Lunch,19,3.6
97,Mild Turkey & Oats Bowl with Mushroom,Italian,575,28,82,15,14,157,0,Dinner,25,3.6
98,Grilled Fish with Pasta,Mexican,697,29,111,15,8,85,0,Breakfast,13,4.8
99,Greek Yogurt with Honey,Mediterranean,135,17,5,5,1,60,0,Snack,8,3.7
100,Baked Beans & Wrap Bowl with Mushroom,Italian,713,20,111,21,8,67,1,Dinner,17,3.7
101,Fried Turkey with Pasta,Indian,639,45,67,21,3,149,0,Breakfast,25,3.9
102,Roasted Tofu,American,137,7,9,8,5,21,1,Snack,4,3.7
103,Spicy Lentils & Potato Bowl with Broccoli,Asian,302,11,46,8,6,86,1,Lunch,9,4.0
104,Grilled Chicken Bites,Mediterranean,195,21,12,7,1,58,0,Snack,7,4.2
105,Baked Chickpeas & Oats Bowl with Broccoli,Asian,411,20,28,24,7,117,1,Lunch,21,4.7
106,Mild Pork with Potato,Mexican,639,44,104,5,2,86,0,Breakfast,26,3.6
107,Mild Tofu & Quinoa Bowl with Mixed Veggies,Mediterranean,318,36,23,9,12,77,1,Lunch,36,4.6
108,Roasted Fish with Rice,American,321,23,19,17,2,103,0,Breakfast,28,4.8
109,Fried Beans & Bread Bowl with Spinach,Italian,805,26,103,32,14,64,1,Lunch,6,3.5
110,Spicy Pork with Oats,Indian,672,41,91,16,2,140,0,Breakfast,12,3.8
111,Roasted Beef & Oats Bowl with Mixed Veggies,Asian,595,49,68,14,10,79,0,Dinner,23,3.6
112,Roasted Pork & Potato Bowl with Spinach,Indian,483,56,44,9,4,104,0,Lunch,23,4.0
113,Fried Pork & Pasta Bowl with Mushroom,Asian,842,42,121,21,9,115,0,Lunch,43,3.7
114,Creamy Chickpeas & Rice Bowl with Mushroom,Mexican,609,35,61,25,10,103,1,Lunch,27,4.1
115,Roasted Chicken with Oats,Indian,667,25,128,6,7,138,0,Breakfast,20,3.7
116,Creamy Paneer & Wrap Bowl with Mushroom,Indian,942,20,139,34,14,120,1,Dinner,38,3.7
117,Grilled Chicken Bites,Asian,230,26,15,7,3,56,0,Snack,3,4.8
118,Roasted Turkey with Quinoa,Asian,334,29,43,5,5,109,0,Breakfast,15,4.8
119,Fried Paneer & Bread Bowl with Broccoli,Asian,464,32,43,18,6,47,1,Lunch,31,4.3
120,Grilled Fish Bites,Asian,278,18,33,8,2,39,0,Snack,2,4.6
121,Grilled Chicken & Wrap Bowl with Mixed Veggies,Italian,662,48,72,20,2,155,0,Lunch,7,3.7
122,Grilled Fish Bites,Indian,270,26,30,5,1,57,0,Snack,9,3.8
123,Baked Paneer & Potato Bowl with Spinach,Asian,615,14,128,5,10,96,1,Lunch,38,4.2
124,Oats with Fruits & Nuts,Indian,576,29,72,19,13,91,1,Breakfast,16,3.6
125,Spicy Turkey with Potato,Mexican,300,55,2,8,7,109,0,Breakfast,36,3.7
126,Oats with Fruits & Nuts,Italian,594,26,79,19,7,116,1,Breakfast,25,4.7
127,Creamy Egg & Potato Bowl with Broccoli,Italian,834,27,91,40,10,90,0,Dinner,41,4.9
128,Grilled Egg Bites,Mediterranean,207,25,6,9,1,50,0,Snack,8,5.0
129,Fried Pork with Pasta,Asian,755,31,85,32,4,124,0,Breakfast,40,4.8
130,Oats with Fruits & Nuts,Mediterranean,441,33,45,14,10,51,1,Breakfast,27,4.1
131,Creamy Chickpeas & Quinoa Bowl with Salad,Mediterranean,866,10,139,30,14,85,1,Lunch,33,5.0
132,Fried Fish & Rice Bowl with Salad,Mediterranean,543,24,55,25,11,141,0,Lunch,26,4.1
133,Spicy Tofu & Potato Bowl with Salad,Italian,555,13,80,20,11,44,1,Lunch,15,4.9
134,Grilled Egg & Rice Bowl with Salad,Mexican,632,58,61,17,8,93,0,Dinner,24,4.1
135,Bread with Mixed Veggies,Mediterranean,879,27,109,37,5,64,1,Breakfast,43,4.9
136,Roasted Turkey & Oats Bowl with Salad,American,460,40,41,15,8,155,0,Dinner,8,4.5
137,Greek Yogurt with Honey,Italian,296,9,29,16,5,39,1,Snack,5,4.1
138,Grilled Turkey Bites,Mediterranean,264,29,28,4,3,77,0,Snack,6,4.0
139,Baked Turkey & Quinoa Bowl with Salad,Indian,662,28,94,19,10,138,0,Dinner,41,4.7
140,Fried Turkey & Wrap Bowl with Broccoli,Mexican,1068,38,159,31,5,127,0,Dinner,41,4.5
141,Greek Yogurt with Honey,Asian,133,9,4,9,7,26,1,Snack,9,4.8
142,Mild Beans & Rice Bowl with Salad,Italian,361,10,64,7,4,44,1,Lunch,19,4.3
143,Roasted Lentils,Mexican,201,14,18,8,5,29,1,Snack,2,4.0
144,Bread with Mixed Veggies,Mexican,889,36,109,34,8,93,1,Breakfast,10,3.9
145,Mild Turkey & Bread Bowl with Salad,Indian,362,26,44,9,11,79,0,Dinner,16,3.7
146,Greek Yogurt with Honey,Asian,250,32,10,9,3,72,0,Snack,4,3.6
147,Roasted Pork with Quinoa,Asian,306,37,10,13,11,101,0,Breakfast,39,4.0
148,Fried Tofu & Quinoa Bowl with Spinach,Mediterranean,860,13,159,19,8,97,1,Lunch,29,4.4
149,Roasted Lentils & Pasta Bowl with Mixed Veggies,Italian,831,28,150,13,9,105,1,Dinner,43,3.7
150,Fried Chickpeas & Wrap Bowl with Spinach,Asian,524,36,43,23,9,84,1,Lunch,10,4.5
151,Bread with Mushroom,American,300,29,21,11,7,73,1,Breakfast,23,4.2
152,Roasted Tofu,Mediterranean,172,15,19,4,5,38,1,Snack,9,4.4
153,Creamy Chickpeas & Potato Bowl with Salad,Italian,741,25,90,31,8,118,1,Lunch,12,4.3
154,Baked Pork & Potato Bowl with Broccoli,Indian,433,38,18,23,7,95,0,Lunch,27,3.8
155,Mild Chicken with Oats,American,661,54,59,23,10,119,0,Breakfast,42,4.4
156,Baked Lentils & Oats Bowl with Broccoli,Asian,633,18,120,9,10,55,1,Lunch,30,4.6
157,Fried Beef with Oats,Mediterranean,689,46,63,28,3,84,0,Breakfast,15,3.6
158,Grilled Turkey Bites,Asian,226,26,12,8,4,82,0,Snack,9,4.6
159,Fried Paneer & Potato Bowl with Salad,Mediterranean,882,27,119,33,9,61,1,Lunch,21,5.0
160,Baked Chicken & Pasta Bowl with Mushroom,Mediterranean,373,21,54,8,7,128,0,Lunch,21,3.8
161,Roasted Lentils & Wrap Bowl with Mixed Veggies,Indian,403,37,41,10,12,53,1,Lunch,41,4.4
162,Baked Fish with Potato,Mexican,524,27,59,20,2,133,0,Breakfast,23,3.6
163,Oats with Fruits & Nuts,Mediterranean,858,36,129,22,9,70,1,Breakfast,22,4.6
164,Greek Yogurt with Honey,Indian,211,5,29,8,4,37,1,Snack,4,4.9
165,Mild Beef & Wrap Bowl with Mushroom,Italian,370,45,9,17,8,143,0,Dinner,10,4.6
166,Greek Yogurt with Honey,Mediterranean,123,8,13,4,6,19,1,Snack,3,4.4
167,Oats with Fruits & Nuts,Mexican,479,28,60,14,5,116,1,Breakfast,31,4.9
168,Mild Fish with Bread,Asian,557,48,77,6,11,123,0,Breakfast,35,3.7
169,Roasted Paneer & Oats Bowl with Salad,Asian,378,35,23,16,11,73,1,Dinner,10,4.2
170,Roasted Tofu,Italian,221,8,36,5,6,34,1,Snack,7,4.0
171,Baked Paneer & Wrap Bowl with Mushroom,Mexican,827,12,138,25,17,58,1,Dinner,11,3.8
172,Grilled Beef Bites,Mediterranean,211,22,15,7,4,50,0,Snack,6,4.0
173,Spicy Beef & Pasta Bowl with Mixed Veggies,Indian,577,43,56,20,5,143,0,Dinner,27,3.6
174,Spicy Pork & Pasta Bowl with Mixed Veggies,Indian,786,37,116,19,13,145,0,Dinner,11,3.9
175,Fried Beans & Rice Bowl with Broccoli,Italian,777,37,112,20,10,45,1,Lunch,21,4.7
176,Creamy Beef & Oats Bowl with Mushroom,American,681,33,54,37,8,108,0,Lunch,27,4.1
177,Creamy Chickpeas & Rice Bowl with Broccoli,Mexican,722,28,87,29,11,88,1,Lunch,10,4.0
178,Roasted Paneer & Pasta Bowl with Broccoli,Mediterranean,368,26,32,15,5,90,1,Lunch,33,4.1
179,Fried Egg & Pasta Bowl with Broccoli,Asian,813,51,75,34,10,110,0,Lunch,10,4.8
180,Pasta with Mushroom,American,709,14,100,28,10,96,1,Breakfast,35,3.8
181,Roasted Beans,American,338,12,41,14,5,25,1,Snack,8,4.6
182,Spicy Beans & Bread Bowl with Broccoli,Indian,415,36,29,17,8,85,1,Lunch,20,4.0
183,Grilled Turkey & Rice Bowl with Mushroom,Mediterranean,673,33,94,18,7,155,0,Dinner,10,4.7
184,Baked Beef & Potato Bowl with Spinach,American,446,32,43,16,7,137,0,Lunch,43,4.1
185,Grilled Chickpeas & Bread Bowl with Mixed Veggies,Indian,652,22,116,11,8,62,1,Lunch,34,3.6
186,Grilled Chicken Bites,American,250,20,31,5,1,82,0,Snack,7,3.5
187,Grilled Fish Bites,Indian,162,22,11,3,1,79,0,Snack,3,3.7
188,Fried Turkey with Oats,Italian,653,50,61,23,11,69,0,Breakfast,44,4.3
189,Grilled Fish Bites,American,212,21,23,4,2,58,0,Snack,6,4.3
190,Greek Yogurt with Honey,Mediterranean,192,27,7,6,0,49,0,Snack,3,4.8
191,Grilled Chicken & Bread Bowl with Spinach,Indian,529,34,84,6,4,66,0,Lunch,24,4.3
192,Greek Yogurt with Honey,American,228,31,12,6,4,68,0,Snack,7,4.6
193,Creamy Turkey & Potato Bowl with Spinach,Mediterranean,772,33,103,25,13,87,0,Dinner,27,4.2
194,Roasted Beef & Pasta Bowl with Mushroom,American,539,57,12,29,8,87,0,Dinner,11,4.5
195,Roasted Turkey with Wrap,Mexican,677,32,101,16,11,87,0,Breakfast,42,4.7
196,Creamy Fish with Rice,American,561,30,67,19,10,128,0,Breakfast,11,4.3
197,Roasted Tofu & Oats Bowl with Broccoli,American,591,39,79,13,13,104,1,Lunch,21,4.6
198,Grilled Turkey with Wrap,Indian,449,30,48,15,2,107,0,Breakfast,37,4.1
199,Oats with Fruits & Nuts,Asian,813,22,131,22,9,51,1,Breakfast,27,4.0
200,Spicy Beef & Wrap Bowl with Salad,Asian,552,45,68,11,12,176,0,Dinner,38,4.9
201,Rice with Salad,American,318,36,21,10,10,89,1,Breakfast,42,4.8
202,Baked Chicken & Potato Bowl with Broccoli,Mexican,460,44,48,10,11,135,0,Lunch,43,4.2
203,Fried Beans & Pasta Bowl with Mixed Veggies,Italian,597,18,61,31,14,80,1,Lunch,26,4.8
204,Baked Tofu & Pasta Bowl with Spinach,Mediterranean,389,39,6,23,14,67,1,Dinner,17,4.1
205,Mild Chickpeas & Pasta Bowl with Salad,American,767,20,115,25,10,56,1,Dinner,5,4.4
206,Baked Beans & Pasta Bowl with Spinach,Indian,521,17,86,12,11,136,1,Dinner,8,4.8
207,Greek Yogurt with Honey,American,216,28,12,6,3,67,0,Snack,7,4.4
208,Spicy Chicken with Rice,Indian,366,52,12,12,5,75,0,Breakfast,43,4.3
209,Fried Beans & Rice Bowl with Salad,American,487,21,58,19,8,82,1,Lunch,21,4.1
210,Creamy Egg with Bread,Indian,572,36,59,21,7,75,0,Breakfast,39,3.8
211,Baked Chicken & Quinoa Bowl with Mushroom,Italian,555,20,100,8,7,71,0,Lunch,20,4.1
212,Oats with Fruits & Nuts,Asian,807,10,144,21,6,73,1,Breakfast,30,3.6
213,Roasted Tofu,Indian,394,10,52,16,7,26,1,Snack,8,4.2
214,Grilled Beans & Bread Bowl with Mushroom,Mediterranean,587,13,113,9,8,97,1,Dinner,22,3.6
215,Spicy Fish & Oats Bowl with Mushroom,Asian,469,45,43,13,6,76,0,Lunch,7,4.1
216,Fried Lentils & Wrap Bowl with Spinach,American,602,12,102,16,15,109,1,Lunch,25,4.0
217,Oats with Fruits & Nuts,Mediterranean,312,29,1,21,6,103,1,Breakfast,5,4.7
218,Spicy Chickpeas & Potato Bowl with Salad,American,541,10,102,10,12,82,1,Lunch,10,3.6
219,Grilled Pork Bites,Mexican,255,23,22,8,3,87,0,Snack,8,4.5
220,Potato with Spinach,Asian,447,24,51,16,10,57,1,Breakfast,29,4.8
221,Creamy Beans & Bread Bowl with Broccoli,Asian,686,21,112,17,5,51,1,Lunch,44,4.4
222,Roasted Tofu,American,264,15,44,3,5,16,1,Snack,9,3.5
223,Grilled Egg Bites,Mediterranean,202,18,16,7,4,62,0,Snack,5,4.1
224,Greek Yogurt with Honey,Mediterranean,335,10,42,14,5,34,1,Snack,2,4.4
225,Creamy Pork with Oats,Indian,508,36,41,22,9,90,0,Breakfast,24,4.5
226,Grilled Beans & Potato Bowl with Spinach,Mediterranean,556,36,62,18,14,68,1,Lunch,31,3.8
227,Roasted Tofu,Indian,199,11,32,3,3,41,1,Snack,8,4.5
228,Fried Beans & Potato Bowl with Spinach,Mediterranean,1057,28,175,27,8,99,1,Dinner,6,3.7
229,Creamy Tofu & Wrap Bowl with Broccoli,Asian,1110,39,153,38,9,81,1,Dinner,29,4.1
230,Fried Lentils & Potato Bowl with Salad,Mediterranean,745,46,54,38,5,99,1,Dinner,19,4.5
231,Baked Fish & Potato Bowl with Broccoli,Italian,649,57,58,21,6,122,0,Dinner,35,4.7
232,Roasted Beans & Quinoa Bowl with Broccoli,Mediterranean,570,19,62,27,13,52,1,Dinner,35,4.7
233,Grilled Fish Bites,Mexican,316,26,21,14,2,82,0,Snack,5,3.7
234,Wrap with Spinach,Asian,595,33,59,25,9,105,1,Breakfast,23,3.6
235,Grilled Turkey Bites,Italian,272,30,17,9,3,81,0,Snack,4,3.9
236,Creamy Pork & Quinoa Bowl with Mixed Veggies,Italian,641,48,31,36,2,87,0,Lunch,16,4.6
237,Grilled Fish Bites,Italian,223,27,24,2,3,76,0,Snack,5,4.1
238,Roasted Chickpeas & Bread Bowl with Spinach,Mediterranean,618,24,99,14,12,72,1,Lunch,32,3.7
239,Grilled Egg with Oats,Indian,659,42,75,21,10,153,0,Breakfast,26,4.1
240,Roasted Beans,Indian,188,6,25,7,4,20,1,Snack,5,5.0
241,Mild Turkey & Wrap Bowl with Spinach,Mediterranean,801,35,145,9,11,114,0,Dinner,42,5.0
242,Greek Yogurt with Honey,American,324,25,15,18,2,38,0,Snack,9,4.4
243,Mild Lentils & Oats Bowl with Salad,Indian,671,19,94,24,12,77,1,Lunch,24,4.6
244,Baked Pork with Potato,American,512,45,33,22,10,81,0,Breakfast,40,4.3
245,Greek Yogurt with Honey,Italian,386,11,51,15,4,24,1,Snack,9,3.5
246,Bread with Mushroom,Indian,771,32,84,34,7,108,1,Breakfast,13,3.7
247,Baked Chickpeas & Rice Bowl with Broccoli,American,465,42,15,26,12,89,1,Dinner,16,3.6
248,Baked Beans & Pasta Bowl with Mixed Veggies,Mediterranean,831,42,105,27,11,140,1,Dinner,5,3.6
249,Quinoa with Salad,Mediterranean,530,27,89,7,5,84,1,Breakfast,34,4.3
250,Greek Yogurt with Honey,Indian,217,21,28,2,3,83,0,Snack,8,4.4
251,Spicy Chicken & Potato Bowl with Broccoli,Mediterranean,608,36,75,18,6,74,0,Lunch,28,4.8
252,Fried Chicken with Potato,Mexican,504,51,25,22,9,102,0,Breakfast,12,4.3
253,Grilled Egg with Potato,Italian,695,27,133,6,8,115,0,Breakfast,24,5.0
254,Fried Chickpeas & Rice Bowl with Salad,Italian,663,20,100,20,14,92,1,Lunch,25,4.7
255,Mild Pork & Wrap Bowl with Salad,Mexican,570,45,63,15,7,108,0,Dinner,38,4.6
256,Grilled Turkey & Potato Bowl with Spinach,Mediterranean,413,38,9,25,6,104,0,Dinner,16,4.7
257,Creamy Pork with Oats,American,565,39,52,22,2,86,0,Breakfast,19,4.3
258,Fried Turkey with Bread,Asian,771,22,105,29,7,132,0,Breakfast,28,4.3
259,Roasted Beans & Bread Bowl with Broccoli,Indian,519,27,62,18,10,105,1,Lunch,44,3.7
260,Oats with Fruits & Nuts,Mexican,660,21,108,16,11,83,1,Breakfast,21,4.9
261,Creamy Lentils & Potato Bowl with Mushroom,American,793,12,143,19,10,84,1,Lunch,20,3.7
262,Spicy Chicken & Rice Bowl with Mushroom,American,655,22,90,23,4,174,0,Dinner,37,4.8
263,Roasted Beans & Pasta Bowl with Broccoli,Asian,739,42,102,18,13,63,1,Dinner,15,4.3
264,Spicy Beans & Rice Bowl with Salad,American,687,25,117,13,14,112,1,Lunch,38,4.7
265,Mild Chicken with Pasta,Mexican,458,45,38,14,7,106,0,Breakfast,8,4.1
266,Greek Yogurt with Honey,American,212,8,24,9,6,21,1,Snack,9,4.5
267,Greek Yogurt with Honey,Indian,348,10,27,22,6,18,1,Snack,4,4.6
268,Fried Egg & Oats Bowl with Mixed Veggies,American,651,33,64,29,10,156,0,Lunch,27,3.8
269,Baked Chicken & Potato Bowl with Mushroom,American,658,32,112,9,3,113,0,Lunch,37,4.0
270,Creamy Lentils & Rice Bowl with Broccoli,Mediterranean,867,30,108,35,12,69,1,Lunch,43,5.0
271,Baked Chicken & Wrap Bowl with Mushroom,American,466,38,56,10,9,118,0,Dinner,14,4.9
272,Oats with Fruits & Nuts,Mediterranean,383,36,12,21,12,97,1,Breakfast,38,4.7
273,Spicy Pork with Quinoa,Indian,665,38,99,13,5,135,0,Breakfast,33,4.5
274,Fried Pork with Bread,American,579,31,57,25,3,151,0,Breakfast,15,4.5
275,Roasted Turkey with Wrap,Indian,384,43,5,21,7,132,0,Breakfast,25,4.4
276,Spicy Paneer & Oats Bowl with Mixed Veggies,Mediterranean,603,21,87,19,12,119,1,Lunch,25,4.8
277,Creamy Beef & Rice Bowl with Spinach,Mexican,629,45,56,25,10,120,0,Dinner,7,3.8
278,Mild Beans & Bread Bowl with Mixed Veggies,Mexican,435,22,44,19,13,96,1,Lunch,22,4.2
279,Grilled Pork Bites,Asian,257,27,21,7,2,65,0,Snack,3,3.6
280,Grilled Chicken Bites,American,304,25,15,16,3,64,0,Snack,7,4.1
281,Grilled Beans & Quinoa Bowl with Mushroom,Italian,511,36,76,7,13,48,1,Lunch,31,4.8
282,Grilled Fish Bites,Mediterranean,269,27,24,7,3,52,0,Snack,8,3.6
283,Spicy Lentils & Wrap Bowl with Spinach,Mediterranean,827,30,149,12,10,66,1,Dinner,11,3.8
284,Roasted Paneer & Wrap Bowl with Broccoli,American,671,39,108,9,12,97,1,Lunch,35,4.5
285,Baked Egg & Wrap Bowl with Spinach,Indian,336,48,11,11,7,143,0,Lunch,23,4.1
