temperature_c,rainfall_mm,humidity_pct,soil_moisture,soil_n_mgkg,soil_p_mgkg,soil_k_mgkg,soil_ph,crop_type,leaf_spot,wilting,pest_damage,previous_yield_tpha,disease_risk,yield_loss_pct,expected_yield_tpha,yield_risk
18.74,19.87,78.5,0.393,98.52,14.13,56.14,7.01,Maize,0,0,0,5.16,Low,0.0,5.04,Low
20.59,92.93,95.07,0.608,29.99,44.49,47.78,5.57,Rice,0,0,0,4.82,Medium,22.15,3.73,Medium
24.88,69.33,95.45,0.228,81.25,63.44,62.61,6.5,Cotton,1,0,0,5.12,Medium,17.28,4.16,Medium
24.4,157.43,50.81,0.462,56.26,54.67,41.07,6.67,Maize,0,0,0,4.46,Low,2.86,3.86,Low
31.06,79.21,55.03,0.349,69.51,34.91,28.07,7.31,Maize,0,0,0,4.91,Low,7.17,4.58,Low
28.21,144.56,88.79,0.276,25.34,38.11,77.65,5.39,Wheat,0,0,0,4.44,Medium,19.46,3.54,Medium
18.13,135.23,53.18,0.568,81.43,48.65,38.93,6.52,Cotton,0,0,1,5.18,Low,7.67,5.01,Low
29.58,137.38,49.48,0.438,69.16,51.47,39.47,5.74,Cotton,0,1,0,5.55,Low,1.79,5.45,Low
24.11,80.98,61.19,0.471,54.3,33.88,47.01,6.85,Maize,0,0,0,5.5,Low,15.54,4.42,Medium
33.37,96.65,73.88,0.652,66.61,38.41,49.01,7.04,Rice,0,0,0,5.1,Low,12.02,4.44,Medium
23.86,119.09,66.57,0.408,41.22,41.61,42.2,7.4,Wheat,0,0,0,5.12,Low,6.66,4.4,Low
23.82,98.45,58.89,0.376,44.57,44.65,47.74,6.13,Rice,0,1,0,4.21,Low,6.82,3.71,Low
29.71,79.31,58.56,0.407,46.66,36.4,47.4,7.15,Rice,0,0,0,4.84,Low,9.44,4.5,Low
30.81,50.74,58.03,0.46,21.65,36.56,50.62,7.45,Maize,1,0,0,4.32,Low,3.48,4.12,Low
29.24,93.96,55.69,0.356,70.51,54.56,12.64,5.35,Maize,0,0,0,5.59,Low,9.29,5.23,Low
18.57,31.24,98.0,0.274,76.45,52.51,76.21,6.93,Cotton,0,0,0,4.81,Low,6.68,4.14,Low
29.69,18.59,72.17,0.428,42.38,43.73,45.79,7.17,Wheat,0,1,1,4.39,Medium,13.72,3.74,Medium
21.83,42.9,80.41,0.389,61.27,58.63,56.71,6.32,Wheat,0,0,0,5.45,Low,3.33,5.18,Low
28.18,136.47,61.15,0.259,50.22,33.36,27.33,5.65,Wheat,1,0,0,4.79,Medium,9.53,4.51,Low
19.88,107.19,65.4,0.306,60.91,57.48,40.93,7.16,Rice,0,0,0,4.57,Low,14.58,4.03,Medium
29.23,137.26,58.01,0.615,43.7,44.51,37.92,5.66,Rice,0,0,0,6.2,Low,8.24,5.8,Low
22.97,59.11,30.88,0.411,39.1,77.25,70.05,6.38,Wheat,0,0,0,4.53,Low,8.83,4.41,Low
20.59,166.6,48.71,0.424,73.94,23.69,39.21,6.47,Rice,0,0,1,5.22,Low,0.0,5.15,Low
30.57,34.09,42.65,0.324,53.85,29.73,59.37,7.0,Maize,0,0,1,4.75,Medium,11.61,4.44,Medium
28.21,44.05,36.5,0.354,91.4,43.03,38.24,6.06,Wheat,1,0,0,5.26,Low,9.84,4.55,Low
23.93,164.95,51.26,0.572,55.83,42.77,41.21,6.02,Cotton,0,0,1,5.22,Low,8.78,4.57,Low
34.26,102.61,86.55,0.287,38.33,61.4,44.32,6.57,Maize,0,0,0,4.71,Medium,9.38,4.4,Low
24.8,137.73,67.38,0.381,77.08,29.98,67.26,7.2,Wheat,0,1,0,5.3,Low,8.83,4.56,Low
27.16,107.46,86.07,0.456,66.35,48.86,19.65,8.1,Cotton,0,0,0,4.6,Low,13.47,4.08,Medium
28.34,64.76,73.75,0.368,68.08,51.95,28.27,5.44,Cotton,1,0,0,5.93,Medium,19.14,4.81,Medium
23.9,40.36,78.96,0.406,76.43,46.46,18.79,6.72,Wheat,0,0,0,4.8,Low,5.38,4.73,Low
29.36,22.98,55.39,0.205,43.25,26.47,31.69,5.74,Rice,0,0,1,4.49,Medium,5.03,4.25,Low
24.33,239.6,75.34,0.623,52.71,54.89,35.83,7.21,Maize,0,0,0,5.51,Medium,15.01,4.7,Medium
24.94,27.83,78.2,0.443,51.91,52.75,23.78,5.84,Rice,0,0,0,4.5,Low,3.61,4.43,Low
33.81,200.49,59.93,0.589,31.77,45.2,36.99,6.03,Rice,0,0,0,4.87,Low,10.95,4.22,Medium
21.8,99.25,75.83,0.433,50.26,40.45,17.78,6.09,Rice,0,0,0,4.05,Low,0.0,3.92,Low
15.0,109.42,75.93,0.422,79.05,40.71,32.73,6.45,Maize,0,0,1,5.03,Low,6.21,4.8,Low
35.05,105.21,60.31,0.343,59.27,37.06,66.01,6.73,Maize,0,0,0,4.79,Low,13.7,4.13,Medium
39.75,127.93,52.28,0.446,30.77,45.69,54.05,6.84,Maize,0,0,0,5.24,Low,8.03,4.74,Low
24.97,55.35,51.42,0.492,26.99,38.37,50.81,6.5,Maize,0,0,0,3.97,Low,11.59,3.5,Medium
17.32,16.38,69.21,0.308,84.97,27.82,32.96,5.57,Wheat,0,0,0,4.42,Low,1.43,4.64,Low
25.45,63.88,72.58,0.288,53.37,25.42,24.96,7.01,Maize,0,0,0,4.14,Low,1.59,4.0,Low
25.57,121.69,56.9,0.397,43.35,28.98,30.91,6.46,Rice,0,0,0,5.41,Low,13.75,4.59,Medium
26.05,44.36,68.37,0.373,50.07,40.67,47.35,7.31,Rice,0,0,0,4.32,Low,8.4,3.65,Low
21.43,168.93,75.99,0.465,28.41,37.68,61.02,6.0,Maize,1,0,0,5.22,Medium,14.41,4.46,Medium
29.9,86.1,76.65,0.452,80.62,40.58,61.54,5.38,Wheat,0,0,0,5.73,Medium,9.53,5.3,Low
29.62,41.46,89.73,0.402,47.93,44.01,57.46,6.48,Maize,0,0,0,4.64,Low,12.4,4.22,Medium
19.53,102.01,85.88,0.511,79.61,30.47,36.94,7.41,Maize,0,0,0,4.51,Low,7.42,4.19,Low
30.5,120.5,53.98,0.587,55.93,55.59,48.37,6.61,Maize,0,0,1,4.62,Low,12.75,4.21,Medium
37.26,125.61,91.57,0.55,80.73,34.79,43.18,6.36,Maize,0,0,1,5.63,Medium,28.91,4.13,High
27.86,5.04,60.57,0.213,59.62,32.8,44.98,5.89,Maize,0,0,0,3.92,Low,9.94,3.73,Low
25.31,165.06,82.63,0.408,70.36,43.79,78.56,7.73,Wheat,0,0,0,5.8,Low,5.46,5.66,Low
26.29,32.11,68.95,0.331,67.94,15.96,21.57,5.78,Rice,0,0,1,4.58,Medium,3.87,4.68,Low
30.08,165.19,62.23,0.453,66.22,28.51,44.48,5.99,Wheat,1,0,0,5.42,Medium,7.26,4.99,Low
18.35,173.87,42.69,0.395,61.26,49.77,66.18,6.9,Rice,0,0,0,5.63,Low,14.22,4.59,Medium
27.82,40.42,65.6,0.304,50.81,17.15,26.01,5.2,Wheat,0,0,0,3.93,Medium,9.88,3.66,Low
25.05,46.43,46.17,0.308,89.48,51.41,38.34,7.39,Cotton,0,0,0,4.75,Low,6.52,4.58,Low
36.24,141.77,81.54,0.403,38.68,56.13,40.06,6.94,Rice,0,0,0,5.23,Low,10.62,4.96,Medium
26.13,72.11,89.24,0.355,55.08,33.57,44.65,7.13,Rice,0,1,0,4.52,Medium,23.93,3.67,Medium
35.34,188.5,56.84,0.644,55.27,41.5,24.06,6.89,Rice,0,0,0,3.98,Low,7.2,4.05,Low
21.48,218.32,72.23,0.582,62.24,51.43,56.93,6.39,Rice,0,0,1,6.0,Medium,12.38,5.37,Medium
29.94,41.43,57.84,0.597,47.27,32.4,57.99,5.76,Maize,0,1,0,4.23,Low,8.29,3.92,Low
28.6,54.61,59.2,0.383,60.67,48.41,55.63,6.4,Maize,0,0,0,5.16,Low,5.49,4.62,Low
22.65,98.86,78.84,0.39,51.96,29.95,34.94,5.82,Maize,1,0,0,5.39,Medium,11.7,4.81,Medium
27.89,15.95,67.46,0.32,26.52,32.27,49.3,6.84,Maize,0,0,0,4.21,Low,9.65,3.7,Low
33.06,23.56,92.36,0.354,55.17,28.41,34.51,7.06,Wheat,0,0,0,4.86,Low,12.74,4.28,Medium
25.38,50.42,61.25,0.404,35.19,42.11,43.01,7.53,Cotton,0,0,0,4.62,Low,16.53,3.86,Medium
18.54,260.77,81.99,0.821,23.78,51.9,80.3,6.76,Rice,0,0,0,6.32,High,35.76,4.14,High
26.91,108.07,69.36,0.345,57.46,35.79,49.44,7.15,Rice,0,0,0,4.52,Low,12.6,3.93,Medium
22.49,60.72,79.14,0.459,63.78,22.75,30.19,6.29,Rice,0,0,0,4.69,Low,3.71,4.69,Low
25.29,46.17,61.74,0.376,64.48,25.01,50.71,6.17,Maize,0,0,0,5.07,Low,10.1,4.07,Medium
26.59,40.09,67.31,0.191,65.21,42.74,27.72,6.83,Wheat,0,0,1,4.61,Low,5.11,4.41,Low
18.47,63.68,66.38,0.453,20.21,60.13,30.01,6.23,Rice,0,0,0,4.94,Low,9.58,4.68,Low
18.92,61.3,56.3,0.5,30.5,42.72,32.38,6.69,Wheat,0,1,0,4.24,Medium,16.75,3.87,Medium
29.41,80.48,77.27,0.311,90.52,33.36,41.34,5.76,Rice,0,0,0,6.1,Low,8.2,5.73,Low
24.39,123.89,77.1,0.448,36.15,47.19,62.05,5.88,Maize,0,1,0,5.95,Medium,23.63,4.85,Medium
15.0,88.36,76.31,0.233,66.0,35.13,56.68,6.94,Wheat,0,0,0,4.98,Low,13.71,4.32,Medium
30.92,146.66,89.52,0.35,42.64,33.46,55.84,7.12,Wheat,0,0,0,5.18,Low,16.71,4.31,Medium
28.36,76.88,88.29,0.497,56.43,26.5,31.52,5.81,Wheat,0,0,0,5.28,Low,15.06,4.58,Medium
23.43,227.76,62.75,0.527,43.6,54.9,39.88,6.97,Maize,0,0,0,4.94,Medium,26.05,3.65,High
20.42,144.61,73.22,0.363,65.11,7.53,52.08,6.13,Wheat,0,0,1,4.37,Medium,8.25,3.87,Low
31.18,106.31,59.27,0.451,57.46,47.57,38.58,6.51,Rice,0,0,0,5.58,Low,13.48,4.73,Medium
28.75,124.14,68.33,0.397,46.93,32.44,43.82,7.49,Rice,0,0,0,5.0,Low,4.04,4.6,Low
38.91,64.83,59.6,0.331,36.1,33.08,54.62,7.07,Cotton,0,0,1,4.28,Medium,11.74,3.88,Medium
29.1,79.66,90.68,0.47,59.82,58.31,42.77,7.06,Cotton,1,0,0,5.09,Low,14.25,4.36,Medium
28.94,77.73,73.09,0.277,33.17,29.43,51.39,7.84,Maize,0,0,0,3.41,Medium,18.93,2.7,Medium
26.17,55.99,64.95,0.277,62.69,29.84,71.89,6.01,Rice,0,0,0,4.81,Low,3.39,4.55,Low
31.08,35.18,84.71,0.358,102.28,36.44,45.42,5.81,Cotton,0,1,0,4.83,Low,5.95,4.64,Low
30.13,128.1,37.61,0.551,79.3,42.97,65.69,5.99,Maize,0,0,0,5.94,Low,8.39,5.58,Low
33.26,160.08,39.8,0.616,67.93,32.7,56.39,6.32,Maize,0,0,0,5.82,Low,7.25,5.19,Low
24.39,117.58,79.14,0.375,53.46,19.11,25.99,4.85,Wheat,0,0,0,5.0,Medium,17.42,3.9,Medium
24.82,88.2,68.85,0.5,20.1,27.61,31.47,6.35,Rice,0,0,0,4.56,Low,21.74,3.74,Medium
24.6,285.69,71.51,0.564,31.2,53.38,35.5,6.12,Rice,1,1,0,4.88,Medium,20.68,3.62,Medium
30.95,60.21,49.43,0.555,78.09,38.9,35.18,7.05,Cotton,0,1,1,5.31,Medium,11.06,4.82,Medium
34.49,108.48,67.67,0.317,40.78,43.41,46.65,6.75,Wheat,0,0,1,5.0,Medium,8.81,4.85,Low
24.71,173.33,96.05,0.641,42.41,34.86,57.22,6.08,Rice,0,1,0,5.8,Medium,16.7,5.12,Medium
24.88,43.15,79.54,0.286,52.02,30.09,66.83,6.91,Wheat,0,0,0,5.64,Low,4.24,5.53,Low
28.57,133.86,70.38,0.662,35.88,58.13,52.62,7.01,Maize,0,0,0,4.39,Low,9.87,4.09,Low
25.77,236.21,61.85,0.643,32.92,35.74,41.31,5.96,Rice,0,0,0,5.14,Low,14.81,4.79,Medium
31.76,92.75,62.48,0.31,54.09,32.68,16.77,6.15,Cotton,0,0,0,4.28,Low,6.15,3.6,Low
15.74,102.74,38.19,0.371,38.95,51.15,49.06,4.94,Maize,1,0,0,4.82,Medium,21.94,3.68,Medium
22.87,60.45,71.61,0.451,41.66,29.33,48.39,5.74,Maize,1,0,0,4.58,Low,5.06,4.5,Low
23.09,123.31,79.84,0.553,40.94,30.86,50.74,5.98,Wheat,0,0,0,4.79,Low,7.52,4.36,Low
15.4,55.07,45.94,0.359,64.4,38.12,79.59,6.55,Maize,0,1,0,5.36,Low,10.56,5.02,Medium
22.18,89.4,58.74,0.412,50.82,38.0,66.61,5.84,Maize,1,1,0,4.44,Medium,17.57,3.65,Medium
22.42,31.95,51.8,0.414,51.79,41.12,59.78,6.14,Maize,0,0,0,4.24,Low,13.11,3.71,Medium
25.99,9.62,54.49,0.325,65.75,63.1,33.57,5.64,Rice,0,0,0,4.39,Low,9.71,3.91,Low
32.56,68.59,68.75,0.253,52.44,42.03,40.31,6.62,Wheat,0,0,0,4.49,Low,12.2,3.85,Medium
25.77,67.87,38.82,0.3,49.99,9.46,46.58,6.8,Rice,1,0,1,3.96,Medium,11.34,3.41,Medium
21.85,72.44,76.6,0.41,63.47,41.92,36.37,6.78,Wheat,1,0,0,4.87,Medium,17.67,4.06,Medium
26.72,142.1,78.55,0.592,67.03,38.45,55.51,6.51,Wheat,0,0,0,5.34,Low,11.62,4.58,Medium
32.25,162.66,64.48,0.657,52.35,38.52,53.35,5.42,Rice,0,0,0,4.9,Low,14.05,4.38,Medium
22.12,111.2,33.27,0.511,56.45,40.95,31.68,6.07,Rice,0,0,0,5.37,Low,1.33,5.42,Low
22.45,136.37,54.05,0.492,40.93,37.66,65.95,6.21,Maize,0,0,0,5.01,Low,4.37,4.99,Low
29.79,56.15,85.26,0.442,39.51,37.37,49.53,6.22,Rice,1,0,0,5.07,Medium,21.29,3.78,Medium
25.89,47.26,29.11,0.29,68.84,45.36,22.06,6.55,Cotton,0,1,0,4.73,Low,0.0,4.42,Low
30.24,124.78,63.13,0.434,63.01,31.5,47.23,7.5,Maize,0,0,0,5.06,Low,9.97,4.56,Low
26.93,42.74,51.48,0.269,63.2,26.63,52.22,7.07,Wheat,0,0,1,4.46,Medium,18.24,4.17,Medium
30.51,39.38,79.26,0.222,60.06,74.29,62.59,5.81,Maize,0,0,1,5.01,Low,5.69,4.96,Low
21.82,300.0,58.55,0.693,55.83,29.41,42.94,6.97,Rice,1,0,0,6.09,Medium,17.28,4.94,Medium
26.94,96.44,73.66,0.434,67.54,39.2,60.42,6.95,Cotton,0,0,0,5.01,Low,3.7,4.9,Low
25.95,67.9,75.92,0.45,71.83,20.05,50.81,5.94,Wheat,0,0,0,5.18,Medium,11.91,4.7,Medium
20.92,62.95,93.71,0.43,71.4,39.4,28.27,7.09,Maize,0,0,0,4.52,Low,10.03,3.82,Medium
19.18,32.65,65.16,0.363,53.19,26.8,26.77,6.39,Rice,0,0,0,4.72,Low,5.27,4.72,Low
30.43,109.81,73.26,0.487,79.97,32.69,64.84,5.51,Wheat,0,0,0,5.08,Low,5.05,4.79,Low
25.25,76.76,47.21,0.388,59.11,50.54,65.94,6.82,Wheat,0,0,0,5.5,Low,6.92,5.1,Low
21.89,160.03,84.67,0.533,66.38,43.66,52.84,6.65,Cotton,0,0,0,5.46,Low,6.87,5.09,Low
26.52,127.07,57.35,0.38,60.08,44.82,70.44,6.34,Maize,0,0,0,5.99,Low,15.5,5.27,Medium
32.64,75.11,60.15,0.427,59.45,16.75,63.85,6.47,Wheat,0,0,0,4.24,Low,6.42,3.83,Low
15.6,19.79,67.69,0.391,41.76,60.04,58.25,6.0,Rice,0,0,0,3.91,Low,9.38,3.23,Low
19.52,96.6,46.12,0.349,67.62,23.7,34.33,6.93,Wheat,0,0,0,4.54,Low,5.69,4.34,Low
22.39,91.38,71.2,0.415,106.22,56.34,73.97,6.47,Wheat,0,0,0,5.17,Low,5.64,4.51,Low
34.31,16.38,81.54,0.257,48.25,50.26,56.04,6.62,Wheat,0,0,0,3.9,Low,1.18,3.8,Low
28.41,118.6,72.1,0.39,56.28,44.93,42.21,6.75,Rice,0,0,1,5.34,Low,1.71,5.46,Low
30.84,41.7,45.76,0.238,46.97,27.74,37.98,5.69,Cotton,0,0,0,4.37,Low,3.17,4.34,Low
21.3,164.81,66.27,0.624,46.22,39.82,51.85,5.87,Cotton,0,0,1,4.99,Medium,14.73,4.44,Medium
21.4,87.99,78.39,0.512,82.8,32.35,22.93,4.95,Rice,0,0,0,4.91,Low,12.3,4.41,Medium
29.24,61.79,41.71,0.428,42.89,38.35,58.5,6.9,Maize,0,0,0,4.44,Low,0.85,4.83,Low
27.29,104.93,52.95,0.623,46.47,35.0,33.7,5.65,Rice,1,1,0,5.63,Medium,11.8,4.86,Medium
29.74,101.08,80.27,0.402,26.43,13.54,53.56,6.59,Maize,0,1,0,4.09,Medium,8.53,3.81,Low
26.06,98.84,71.78,0.722,41.36,51.46,40.18,6.76,Rice,0,0,0,4.43,Low,6.94,4.05,Low
28.39,152.48,73.77,0.46,24.25,37.03,44.03,6.92,Maize,1,0,0,5.15,High,30.3,3.76,High
27.79,108.78,94.03,0.456,66.37,32.18,36.65,5.66,Maize,0,0,0,4.95,Medium,16.21,4.14,Medium
30.89,58.19,74.56,0.33,105.39,31.28,45.58,6.45,Maize,1,0,0,6.17,Low,7.81,6.0,Low
31.04,78.24,77.21,0.431,48.4,42.3,76.34,7.67,Rice,0,0,1,4.7,Medium,19.82,3.67,Medium
18.9,198.48,98.0,0.622,25.0,27.27,68.78,7.7,Cotton,1,0,1,5.41,High,31.83,3.94,High
15.76,54.74,65.01,0.354,71.2,10.94,53.32,7.19,Rice,1,0,0,5.12,Low,4.96,4.97,Low
32.01,117.48,56.83,0.619,41.92,42.89,47.62,6.74,Rice,1,0,0,4.71,Low,8.64,4.3,Low
32.94,155.7,73.99,0.511,78.39,44.23,60.66,5.8,Maize,0,0,1,5.21,Low,4.69,5.07,Low
21.9,124.19,74.15,0.476,49.92,35.6,64.95,7.0,Wheat,0,0,0,5.39,Low,9.68,4.92,Low
17.7,96.96,60.63,0.325,43.63,24.23,35.55,6.39,Cotton,0,1,0,4.76,Low,10.06,4.35,Medium
27.5,106.17,53.55,0.469,51.8,39.07,46.84,6.89,Cotton,0,0,0,4.35,Low,2.53,4.2,Low
31.65,128.79,98.0,0.441,68.64,20.43,20.67,6.06,Wheat,0,0,0,4.41,Low,12.7,3.72,Medium
35.99,54.31,72.58,0.304,50.91,25.67,64.85,6.38,Cotton,1,1,0,3.4,Medium,13.53,2.88,Medium
29.58,91.74,57.75,0.332,46.06,28.99,78.98,6.61,Rice,0,0,0,5.11,Low,10.18,4.29,Medium
25.14,284.78,80.82,0.9,51.42,48.13,49.2,6.67,Wheat,0,0,0,5.86,Medium,25.33,4.53,High
22.53,119.61,66.47,0.417,32.11,33.65,16.12,6.85,Rice,0,0,0,4.48,Low,9.91,3.81,Low
27.06,99.05,64.46,0.273,62.15,32.63,57.13,6.09,Cotton,0,0,0,4.23,Low,6.79,3.91,Low
25.5,73.35,75.87,0.318,22.84,61.46,34.44,5.56,Rice,0,0,0,4.07,Low,11.73,3.71,Medium
21.92,54.72,49.91,0.361,47.01,42.23,38.05,7.64,Rice,0,0,0,4.4,Low,4.51,4.35,Low
37.24,108.3,72.94,0.485,68.67,42.07,57.4,8.24,Wheat,0,0,1,4.83,Low,2.72,4.38,Low
35.93,112.78,94.78,0.491,60.45,33.56,51.82,6.81,Cotton,1,0,1,5.03,High,17.22,4.15,Medium
32.68,88.01,74.53,0.473,65.63,30.84,40.68,5.57,Cotton,0,1,0,5.17,Medium,13.72,4.54,Medium
22.4,300.0,62.73,0.596,53.83,11.76,38.26,5.96,Maize,0,0,0,6.57,Medium,15.71,5.54,Medium
31.28,57.96,60.9,0.404,76.06,49.62,49.89,6.86,Cotton,0,0,0,5.08,Low,9.59,4.84,Low
30.2,49.16,62.26,0.271,71.64,43.38,41.86,7.44,Cotton,1,0,0,5.37,Low,0.12,5.22,Low
29.21,74.02,64.44,0.327,63.03,35.85,31.36,5.65,Wheat,1,0,0,4.42,Low,5.41,3.81,Low
33.25,89.75,62.71,0.316,71.7,36.35,43.01,6.41,Wheat,0,0,0,4.2,Low,9.88,3.94,Low
30.18,52.82,80.83,0.245,68.51,46.83,53.09,6.64,Maize,0,0,0,4.76,Low,3.88,4.48,Low
30.7,106.75,43.74,0.535,47.09,19.34,45.33,7.11,Maize,0,1,0,4.02,Low,9.64,3.32,Low
30.18,113.66,80.07,0.505,30.81,30.92,26.8,6.26,Wheat,0,0,1,4.58,Medium,11.77,4.01,Medium
28.7,137.66,62.68,0.563,62.57,24.36,62.84,5.41,Rice,0,0,0,4.87,Medium,13.87,4.42,Medium
18.08,66.59,73.28,0.384,64.83,59.26,8.0,6.93,Maize,0,0,0,3.93,Low,10.38,3.3,Medium
27.42,189.2,52.22,0.605,74.63,48.51,41.3,7.29,Rice,0,0,0,6.48,Low,11.81,6.13,Medium
24.22,132.36,86.6,0.283,38.15,11.57,38.7,6.44,Cotton,0,0,0,4.33,Medium,18.37,3.39,Medium
20.6,57.17,85.44,0.455,38.68,19.83,50.22,6.78,Rice,0,0,0,3.69,Low,8.74,3.38,Low
35.41,52.66,81.43,0.381,63.28,36.41,56.42,6.17,Rice,1,0,0,5.18,Medium,12.17,4.33,Medium
35.64,77.23,46.79,0.455,53.72,32.33,64.9,5.91,Cotton,0,0,0,4.47,Low,10.55,4.01,Medium
33.8,113.82,79.61,0.475,21.06,22.11,37.31,7.22,Rice,0,0,0,4.86,Medium,9.91,4.35,Low
28.28,123.61,73.67,0.35,61.75,61.34,56.8,6.77,Rice,0,0,0,5.0,Low,7.29,4.37,Low
33.75,132.21,45.53,0.309,21.66,41.75,50.94,6.84,Maize,1,0,0,4.36,Medium,12.46,4.32,Medium
27.06,274.63,67.66,0.558,37.99,43.7,22.33,7.55,Cotton,0,1,0,5.61,High,30.59,3.8,High
28.01,25.01,73.1,0.387,79.33,29.7,76.51,5.76,Rice,0,0,0,5.28,Low,3.96,4.98,Low
21.53,86.54,75.79,0.473,87.85,46.67,26.42,6.11,Wheat,0,1,0,5.6,Low,0.59,5.74,Low
28.98,261.9,70.48,0.477,33.12,33.43,54.29,6.61,Maize,0,0,0,5.31,Medium,21.08,4.52,Medium
27.3,141.29,72.08,0.371,49.07,34.6,53.85,6.1,Cotton,1,0,0,5.29,Medium,17.86,4.54,Medium
20.49,47.08,88.63,0.284,55.77,45.33,52.13,7.05,Wheat,0,0,0,5.06,Low,4.83,4.6,Low
26.74,103.57,85.16,0.389,87.06,18.45,40.58,6.37,Rice,0,0,0,5.26,Low,13.48,4.59,Medium
26.6,83.4,27.86,0.264,46.13,57.16,60.41,5.81,Rice,0,0,0,4.89,Low,12.33,3.95,Medium
35.99,81.57,63.56,0.256,46.42,40.19,24.59,6.55,Rice,0,0,1,3.84,Low,10.38,3.61,Medium
31.47,65.77,65.69,0.297,82.88,53.37,47.01,6.62,Rice,0,1,0,5.44,Low,6.33,4.8,Low
27.06,98.62,43.47,0.427,48.25,25.09,39.54,7.15,Maize,0,0,0,4.77,Medium,10.23,4.14,Medium
28.24,169.74,69.32,0.386,68.0,26.92,37.84,6.78,Rice,0,0,0,5.05,Low,8.32,4.63,Low
27.22,69.61,85.48,0.372,28.41,24.06,54.43,6.82,Wheat,0,0,0,5.01,Medium,18.99,4.14,Medium
25.99,132.78,52.79,0.565,51.92,41.0,64.16,6.72,Maize,1,0,1,4.61,Medium,14.38,3.9,Medium
21.59,146.19,72.71,0.345,25.13,38.79,42.85,6.37,Maize,1,0,0,5.44,Medium,13.28,4.99,Medium
26.24,188.34,55.18,0.505,36.0,32.43,59.71,6.0,Rice,1,0,0,5.16,Medium,9.67,4.79,Low
23.27,52.06,58.59,0.465,70.11,25.83,48.75,6.7,Cotton,0,0,1,5.01,Low,9.69,4.64,Low
20.75,93.98,88.68,0.371,54.1,22.8,34.61,6.27,Maize,0,0,0,4.49,Medium,19.88,3.38,Medium
29.56,60.93,60.4,0.316,49.26,37.42,44.13,7.68,Maize,0,0,0,3.89,Low,8.8,3.86,Low
28.96,98.73,74.47,0.535,41.52,32.41,43.51,7.44,Rice,1,0,0,4.7,Medium,14.44,3.88,Medium
18.07,98.34,41.8,0.387,51.03,29.77,37.55,6.94,Rice,0,0,0,4.84,Low,14.72,4.44,Medium
26.39,43.53,94.07,0.463,60.42,56.57,54.43,6.76,Cotton,0,0,0,5.33,Low,9.5,5.19,Low
31.98,102.23,76.44,0.466,72.69,37.01,51.52,6.44,Wheat,0,1,0,5.07,Low,13.13,4.49,Medium
32.3,282.3,65.45,0.604,10.0,53.24,24.14,5.62,Wheat,0,0,1,4.19,High,28.06,3.2,High
32.13,123.89,76.06,0.497,40.03,31.6,23.23,6.35,Wheat,1,1,0,3.98,High,30.44,2.22,High
27.19,37.41,48.26,0.377,57.86,40.94,54.37,6.57,Maize,0,0,0,5.72,Low,12.93,4.94,Medium
22.77,49.88,84.56,0.462,53.22,37.33,35.77,6.66,Cotton,0,0,0,4.18,Low,6.83,4.1,Low
21.58,91.12,63.46,0.355,62.26,17.63,52.53,6.83,Rice,0,0,0,5.45,Low,14.64,4.82,Medium
